INFO 2023-05-17 16:14:46,384 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:14:48,683 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:15:47,437 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:15:48,488 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:17:33,201 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:17:34,489 NE_RS_UNBLDRE: Unable to load application resource file /resources/icons/logo.gif api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:17:34,805 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:20:12,251 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:20:13,660 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:22:55,989 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:22:57,380 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:23:25,635 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:23:26,738 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:25:27,442 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:25:28,909 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:26:30,399 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:26:31,690 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:27:25,973 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:27:27,282 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:27:51,543 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:27:52,841 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
INFO 2023-05-17 16:29:12,832 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 USUARIO@DESKTOP-3T2IUJ6
ERROR 2023-05-17 16:29:14,163 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 USUARIO@DESKTOP-3T2IUJ6
